city,cloudiness,humidity,lat,temp,wind Speed
Provideniya,56,95,64.42,47.81,12.01
Cape Town,75,71,-33.93,50.0,19.46
Kapaa,90,100,22.08,82.53,24.16
Souillac,0,87,45.6,57.99,4.52
Santo Antonio do Ica,48,96,-3.1,74.72,3.06
Mahebourg,75,69,-20.41,73.4,14.99
Shieli,8,64,44.18,57.53,8.66
Montoro,0,44,38.02,78.8,4.7
Castro,92,97,-42.48,49.88,8.66
Goderich,92,96,43.74,68.42,15.82
Sumter,20,61,33.92,84.36,4.63
Bethel,90,80,60.79,57.02,9.17
Hobart,75,61,-42.88,48.2,13.87
Gua Musang,64,89,4.88,71.57,2.06
Vostok,88,98,46.45,54.47,2.73
Yerkoy,0,67,39.64,57.53,4.07
Barrow,0,47,-38.31,37.46,3.06
Mar del Plata,32,45,-46.43,60.23,25.55
Cocula,40,42,20.37,80.6,2.62
Sao Filipe,8,98,14.9,79.04,7.09
Victoria,75,88,5.28,79.68,5.19
Cam Ranh,56,91,11.92,80.84,6.42
Kosh-Agach,0,79,49.99,32.15,2.51
Lagoa,0,25,37.14,84.2,5.82
Atuona,100,100,-9.8,78.86,19.62
Ouallam,80,84,14.32,76.07,11.12
Kuvandyk,0,89,51.48,47.99,5.97
Yellowknife,75,71,62.45,51.8,11.41
Nanortalik,24,98,60.14,39.89,4.52
Mildura,0,80,-34.18,52.4,4.74
Hofn,48,100,64.25,44.39,9.66
Jamestown,8,64,-33.21,52.85,3.96
Kaitangata,0,72,-46.28,55.01,21.63
Ilulissat,75,81,69.22,42.8,3.36
Ribeira Grande,0,100,38.52,73.82,9.22
Longyearbyen,40,74,78.22,35.6,16.11
Umm Kaddadah,24,83,13.6,73.1,6.76
Nikolskoye,90,93,59.7,59.0,13.42
Butaritari,68,100,3.07,85.16,6.76
Nuevo Progreso,1,54,26.05,94.71,20.8
Staraya Russa,48,62,57.99,69.23,15.48
Thompson,90,93,55.74,46.4,5.82
Makakilo City,90,84,21.35,80.74,11.41
Black River,20,66,18.03,87.8,18.34
Tuktoyaktuk,40,66,69.44,51.8,4.7
Tiksi,0,99,71.64,46.82,3.06
Lavrentiya,76,93,65.58,46.46,11.68
Anori,0,43,-3.74,88.4,6.2
Itoman,75,78,26.12,81.73,17.22
Zhigansk,0,69,66.77,54.02,3.06
Mahajanga,20,78,-15.72,71.6,14.58
Puerto Ayora,75,61,-0.74,78.8,14.99
Kodiak,1,52,39.95,91.94,6.93
Evensk,0,91,61.92,53.48,10.0
Biak,76,98,-0.91,77.15,3.74
Polaniec,20,93,50.43,62.6,4.7
Zeya,20,67,53.74,68.69,3.06
Tomatlan,80,95,19.93,76.79,2.62
Arraial do Cabo,75,88,-22.97,71.6,3.36
Sitka,36,40,37.17,93.62,15.48
Madang,80,100,-5.21,75.71,3.18
Upington,0,45,-28.46,46.4,4.7
Ngunguru,32,100,-35.62,57.44,12.46
Skjervoy,44,100,70.03,51.05,11.23
Wickford,0,87,51.61,51.24,3.36
Pauini,8,91,-7.71,73.82,11.23
Spirovo,0,65,57.42,58.7,10.56
Rio Gallegos,90,86,-51.62,41.0,2.24
Vanimo,80,100,-2.67,77.78,5.75
Tasiilaq,88,100,65.61,41.87,0.04
Port Elizabeth,1,68,39.31,77.0,5.82
Klaksvik,92,87,62.23,46.4,7.76
Georgetown,20,78,6.8,82.4,11.41
Carnarvon,0,79,-30.97,36.92,13.69
Karratha,0,31,-20.74,58.07,14.03
Shakhtinsk,75,87,49.71,50.0,8.95
Huarmey,0,78,-10.07,60.95,2.73
Raudeberg,92,93,61.99,48.2,4.7
Road Town,40,69,18.42,84.11,11.41
Husavik,12,77,50.56,67.25,11.12
Kachug,0,89,53.96,53.3,2.51
Iqaluit,75,81,63.75,44.6,2.95
Saint-Augustin,90,82,44.83,61.59,4.7
Vad,0,89,45.79,54.74,2.17
Progreso,0,76,-34.68,44.6,3.36
Lasa,40,78,34.92,78.8,6.93
Tuy Hoa,92,100,13.08,76.52,13.58
Sao Joao da Barra,0,73,-21.64,75.2,11.41
Nsanje,0,70,-16.92,69.86,8.1
Pevek,36,100,69.7,37.46,10.45
Terrace Bay,88,93,48.78,57.71,2.73
Carutapera,0,81,-1.2,79.13,7.65
Immenstadt,92,100,47.56,50.54,2.24
Warsaw,20,87,52.23,60.8,2.24
Podgorica,0,60,42.44,72.25,5.82
Ancud,92,97,-41.87,50.42,8.55
Okakarara,0,45,-20.59,53.3,7.2
Pocone,68,52,-16.26,74.18,13.13
Saint-Joseph,75,40,43.56,71.53,3.36
Kincardine,0,87,56.07,48.76,4.7
Norman Wells,90,93,65.28,51.8,2.24
New Norfolk,75,61,-42.78,48.2,13.87
Yinchuan,0,78,38.48,67.07,1.05
Porto Velho,75,83,-8.75,77.0,4.7
Socorro,80,96,13.06,77.42,3.74
Callaway,1,65,46.98,78.82,8.05
Isangel,20,100,-19.55,73.19,16.6
Buala,92,92,-8.15,81.74,5.64
Hilo,90,96,19.71,75.02,4.7
Montepuez,0,82,-13.13,60.5,4.07
Mutoko,0,88,-17.4,56.9,4.41
Saint-Philippe,90,47,45.36,79.68,5.82
Tiganasi,0,49,47.33,68.0,2.62
Kodinsk,100,91,58.6,58.25,3.51
Chuy,0,81,-33.69,45.2,20.29
Fukue,20,74,35.03,84.2,8.05
Hualmay,20,88,-11.1,60.41,4.52
Dikson,92,100,73.51,45.83,14.03
Altayskoye,88,91,51.95,55.82,3.62
Kaeo,44,80,-35.1,57.17,9.78
Najran,40,17,17.54,86.0,2.62
Phan Thiet,76,99,10.93,78.59,12.12
Kavaratti,48,94,10.57,82.73,15.7
Vadso,56,76,70.07,53.6,31.09
Oktyabrskiy,0,87,55.61,54.86,4.47
Salalah,90,100,17.01,73.4,5.82
Padang,68,100,-0.92,79.22,4.63
Saldanha,0,74,41.42,57.26,1.39
Dogondoutchi,92,93,13.64,73.91,11.12
Douchy-les-Mines,32,87,50.3,51.28,2.24
Koygorodok,8,87,60.44,43.67,1.95
Leshukonskoye,32,83,64.9,56.09,6.64
Charlestown,1,70,41.38,71.85,6.93
Agustin Codazzi,40,74,10.03,78.8,16.11
Sika,48,96,8.57,69.23,6.98
Paramonga,44,100,-10.68,61.04,8.43
Agadez,0,90,16.97,75.08,7.2
Port Keats,0,47,-14.25,74.9,6.98
Geraldton,90,82,49.72,66.2,5.82
Valparaiso,75,74,41.47,80.49,5.82
Torbay,90,68,47.66,69.8,16.11
Wagar,56,87,31.44,81.83,2.62
Lorengau,12,100,-2.02,82.64,2.62
Pasni,48,100,25.26,78.77,11.45
Rovnoye,0,83,50.78,57.53,6.64
Marienburg,0,76,52.12,51.78,9.17
Dakar,64,83,14.69,82.4,9.17
Necochea,0,76,-38.55,37.55,2.95
Hasaki,75,74,35.73,86.0,3.36
Manado,20,100,1.49,71.6,1.12
Laramie,75,19,41.31,80.65,8.05
Itarema,0,78,-2.92,78.5,16.71
Abhar,0,89,36.14,50.6,2.06
Dolgoderevenskoye,75,93,55.34,59.0,13.42
Krasnoarmeysk,0,82,56.12,55.4,2.95
Cherskiy,88,85,68.75,37.91,7.43
Anchorage,75,77,61.22,59.7,6.93
Namibe,0,100,-15.19,64.19,10.45
Faanui,36,100,-16.48,77.51,6.53
La Ronge,90,76,55.1,50.0,9.17
Biloela,100,100,-24.4,57.98,5.64
East London,44,94,-33.02,68.87,13.02
San Marcos,20,66,14.97,87.8,9.17
Beringovskiy,92,100,63.05,49.52,9.66
Constitucion,75,28,23.99,80.6,8.05
Acapulco,40,70,16.86,87.8,8.05
Antigonish,1,60,45.62,75.2,4.7
San Juan,90,100,14.6,82.4,6.93
Tual,48,99,-5.67,79.04,9.66
Collie,68,92,-33.36,48.26,12.24
Broome,0,87,52.47,50.0,3.36
Nelson Bay,90,82,-32.72,57.2,5.82
Les Cayes,12,99,18.19,81.38,12.46
Rio Grande,0,57,-32.03,51.8,11.41
Port Lincoln,32,96,-34.72,56.0,5.64
Bundaberg,92,100,-24.87,63.47,5.53
Hamilton,40,78,32.3,82.4,8.05
Cabo San Lucas,20,58,22.89,88.77,10.29
Severo-Kurilsk,68,95,50.68,52.4,4.97
Santa Isabel,75,42,4.71,76.42,8.05
Sulangan,36,100,11.14,83.81,12.01
Byron Bay,90,93,-28.65,60.8,5.82
Graham,1,52,36.07,79.21,4.7
Ahipara,56,85,-35.17,57.53,11.68
Elko,20,3,40.83,87.98,16.11
Sao Paulo de Olivenca,24,83,-3.38,80.12,1.95
Yeppoon,40,73,-23.13,69.8,3.36
Balmazujvaros,0,82,47.62,66.2,4.7
Horizontina,0,69,-27.63,45.83,7.54
Tessalit,48,45,20.2,85.16,10.56
Katsuura,20,69,33.93,82.4,2.24
Tsimlyansk,0,50,47.65,60.59,8.55
Victor Harbor,0,70,-35.55,46.4,3.36
Batalha,0,88,39.66,62.6,8.05
Gushikawa,40,83,26.35,81.28,14.99
Lebu,20,90,8.96,43.49,2.62
Killybegs,92,100,54.63,53.48,8.99
Manokwari,76,100,-0.87,78.32,1.05
Alyangula,0,92,-13.85,77.24,6.2
Sao Jose da Coroa Grande,92,92,-8.9,74.09,10.56
Pangnirtung,32,96,66.15,40.25,6.2
Xai-Xai,0,96,-25.04,68.87,14.14
Rorvik,92,100,64.86,49.25,11.01
Terrell,1,37,32.74,95.25,11.41
Aquiraz,40,78,-3.9,80.6,12.75
Marzuq,20,39,14.4,67.25,1.05
Port Macquarie,90,93,-31.43,53.6,5.82
Veraval,0,93,49.65,49.41,4.7
Havelock,1,81,34.88,82.11,6.93
Landeck,75,93,47.14,48.97,3.36
Pahrump,1,10,36.21,97.56,18.34
Katobu,0,93,-4.94,80.12,4.52
Burnie,48,100,-41.05,52.13,16.71
Leningradskiy,76,100,69.38,36.47,9.44
Shawville,80,59,45.61,73.73,6.42
San Policarpo,76,99,12.18,81.56,3.4
Hernani,80,88,43.27,61.29,2.24
Mandali,0,26,33.75,81.83,8.21
Biu,48,94,10.61,67.07,2.73
Ponta do Sol,36,92,-20.63,63.74,0.38
Hambantota,68,99,6.12,79.94,17.05
Barkly West,0,20,-28.54,51.8,6.93
Kununurra,0,63,-15.77,60.8,3.36
Yanam,92,95,16.73,75.8,14.03
Jiwani,76,98,25.05,78.05,2.73
Qianan,88,100,44.99,64.28,10.11
Flinders,90,87,-34.58,51.8,10.29
Mehamn,88,92,71.03,52.49,15.48
Jaisalmer,0,69,26.91,80.3,15.26
Kolo,36,72,-4.73,62.3,6.64
El Tarra,56,91,8.57,69.05,1.95
Sinnamary,64,95,5.38,81.65,11.68
Sisimiut,64,90,66.94,39.89,2.06
Trelew,8,53,-43.25,53.03,5.53
Gombong,0,86,-7.19,66.35,2.95
Fortuna,0,69,38.18,80.6,9.17
Eureka,1,68,40.8,61.88,13.87
Yulara,0,51,-25.24,37.4,5.82
Rawson,8,53,-43.3,53.03,5.53
Plettenberg Bay,76,91,-34.05,60.32,25.21
Pisco,0,30,-13.71,71.6,8.05
Juazeiro,0,28,-9.43,84.2,8.05
Culebra,40,32,34.68,82.04,18.34
Mitsamiouli,0,100,-11.38,73.82,7.09
Suzhou,48,84,33.65,75.8,9.66
Ilo,76,100,-17.65,54.83,2.17
Eufaula,75,49,31.89,88.63,5.82
Ostrovnoy,80,70,68.05,62.39,17.6
Dobra,0,81,53.58,51.8,5.82
Dubti,92,61,11.74,77.69,4.41
Fuerte Olimpo,8,45,-21.04,59.69,14.47
Williams Lake,75,67,52.13,57.2,3.36
Uzhur,8,89,55.32,52.04,2.73
Vetlanda,92,93,57.43,48.2,4.7
Buta,36,97,2.79,69.05,2.06
Gillette,1,43,44.29,77.0,9.17
Kavieng,24,100,-2.57,83.0,1.16
Aluksne,100,100,57.42,55.01,8.66
Sibolga,32,100,1.74,66.62,1.05
Paamiut,56,92,61.99,43.85,19.84
Adrar,0,17,27.87,91.4,13.87
Ayr,40,76,55.46,51.64,4.7
Carndonagh,92,94,55.25,52.4,8.1
Ulladulla,90,87,-35.36,51.8,10.29
Saint George,0,78,39.45,73.4,3.36
Kidal,88,90,18.44,79.31,0.16
Sorong,76,100,-0.86,78.59,11.23
Muroto,40,88,33.37,80.6,4.7
Chany,76,97,55.31,50.33,8.66
Yining,68,96,29.04,72.92,2.95
Urengoy,44,79,65.96,56.45,3.06
Kedrovyy,44,93,56.17,48.2,3.18
Shingu,75,88,33.72,80.6,3.36
Inverell,100,90,-29.78,51.59,7.65
Cotonou,75,94,6.37,77.0,12.75
Paignton,0,55,50.44,60.8,6.93
Sarkand,20,61,45.41,55.37,2.62
Cidreira,32,75,-30.17,50.33,15.82
Santo Domingo,20,62,18.48,86.0,9.17
Dalvik,92,100,57.79,48.2,5.82
Shenjiamen,44,100,29.96,81.74,12.57
Seoul,75,78,37.57,72.27,1.12
Quatre Cocos,75,69,-20.21,73.4,14.99
Aklavik,75,76,68.22,56.19,8.05
Hovd,75,87,63.83,50.0,12.75
Araouane,0,39,18.9,86.6,6.64
Luganville,48,99,-15.51,78.68,20.51
Brae,92,81,60.4,51.8,12.75
Caravelas,0,100,-17.73,75.89,15.03
Qarqin,0,41,37.41,65.9,7.99
Kieta,0,95,-6.22,81.83,2.17
Port-Cartier,75,64,50.03,69.8,9.17
Collipulli,0,89,-37.96,48.53,8.55
Tarko-Sale,20,90,64.92,49.52,3.18
Grindavik,20,81,63.84,46.78,8.05
Bara,80,97,10.41,69.41,5.08
Kruisfontein,0,77,-34.0,57.89,15.59
Chumikan,0,81,54.72,64.37,2.17
Yerbogachen,12,94,61.28,51.32,3.62
Nicoya,20,52,10.15,91.4,9.17
Sakurai,20,70,34.52,82.72,2.24
Camden,75,48,39.94,75.76,5.82
Clyde River,75,80,70.47,41.0,19.46
Altamira,44,71,-3.2,81.2,4.97
Luderitz,0,89,-26.65,50.15,4.41
Palu,36,86,-0.9,69.05,1.95
La Crosse,1,66,43.8,78.78,2.73
Port Hardy,75,77,50.7,62.6,11.41
Pocri,92,100,8.27,75.8,1.05
Brzeg Dolny,0,77,51.27,59.0,4.7
Mhlume,0,56,-26.03,69.8,6.93
Pinczow,92,97,50.52,58.7,8.21
Baiyin,0,100,36.55,51.8,2.24
Port Pirie,0,93,-33.18,41.0,6.93
Russell,0,38,-33.01,59.0,4.7
Touros,100,97,-5.2,75.44,16.49
Moree,76,100,-29.46,57.62,9.66
Ust-Koksa,48,49,50.27,54.92,3.51
Hervey Bay,92,100,-25.3,64.46,7.43
Santa Cruz,1,53,36.97,71.73,16.11
Vestmannaeyjar,12,100,63.44,46.46,6.2
Changping,0,83,40.22,75.2,2.24
Laguna,75,62,27.52,89.6,11.41
Dhidhdhoo,68,100,6.88,78.77,14.58
Treinta y Tres,0,71,-33.23,41.15,11.56
Mabaruma,20,80,8.2,81.29,8.66
Marsaxlokk,0,73,35.84,77.0,10.29
Norrtalje,0,87,59.76,48.2,3.36
Grand Gaube,75,69,-20.01,73.4,14.99
Kutum,32,88,14.2,65.27,3.62
Sept-Iles,75,64,50.2,69.8,9.17
Cabinda,0,99,-5.56,71.75,7.76
Iwaki,75,74,37.05,80.6,2.24
Glendive,1,42,47.11,69.1,8.05
Osa,0,96,57.28,51.68,4.41
Dongying,68,76,37.43,76.88,6.42
Puerto Leguizamo,20,93,-0.19,75.53,1.95
Vila Velha,40,78,-3.71,80.6,12.75
Aris,90,93,46.61,53.15,1.05
Pandan Niog,8,100,6.23,83.72,9.22
Vanino,0,80,53.93,51.77,2.73
Luau,32,74,-10.7,68.96,2.06
Hvide Sande,80,87,56.01,50.0,3.36
Platanos,20,73,35.47,77.0,5.82
Macusani,92,100,-14.07,47.45,1.39
Tilichiki,88,79,60.47,50.51,11.01
Praya,40,88,-8.71,71.6,2.24
At-Bashi,80,84,41.17,36.92,0.6
Finschhafen,48,88,-6.6,77.6,2.06
Xining,68,97,36.62,50.69,0.94
Linden,20,78,6.01,82.4,11.41
Berlevag,12,92,70.86,51.95,17.49
Manoel Urbano,80,95,-8.84,72.56,3.74
Dekar,12,51,-21.53,55.1,3.62
Pokaran,12,68,26.93,82.1,11.23
Ratnagiri,92,100,16.98,75.89,14.58
Traverse City,90,87,44.76,71.01,8.21
Barrhead,80,86,54.12,59.06,4.97
Opuwo,0,54,-18.06,54.2,4.18
Rassvet,0,68,47.2,68.0,2.24
Ranfurly,12,86,53.41,61.13,3.96
Ugoofaaru,88,100,5.67,80.57,13.8
Santa Rosa,0,37,-36.62,46.01,6.64
Dossor,0,64,47.52,56.27,5.41
Balakhninskiy,68,99,58.01,50.6,3.06
Gimli,12,77,50.63,67.25,11.12
Huambo,24,42,-12.78,67.25,4.41
Puerto Madryn,76,64,-42.77,55.37,14.14
Alofi,76,94,-19.06,73.4,9.17
Kalanguy,88,84,51.01,65.99,4.07
Zhuanghe,48,98,39.7,77.15,4.41
Bandarbeyla,32,87,9.49,77.24,30.58
Garissa,20,75,-0.46,72.38,11.12
Liling,75,100,27.65,73.4,8.95
San Javier,0,74,37.81,80.6,9.17
Miri,92,95,10.31,67.61,2.73
Aykhal,12,83,65.95,48.71,3.96
Vagay,0,84,57.94,56.99,9.55
Cabadiangan,90,78,10.45,82.4,9.17
Marsh Harbour,56,96,26.54,84.98,13.24
Douglas,1,34,31.34,87.08,11.41
College,90,70,64.86,58.37,4.7
Saint Anthony,1,3,43.97,79.34,12.75
San Roque,0,77,0.3,53.12,1.39
Poum,44,92,41.28,57.98,2.06
Coihaique,90,93,-45.58,43.56,9.17
Riyadh,0,25,24.63,86.0,2.24
Kita,75,79,35.76,85.64,6.93
Vila Franca do Campo,40,78,37.72,71.6,10.29
Narsaq,75,81,60.91,44.6,4.7
Peniche,0,77,39.36,63.36,9.17
Wasilla,1,62,61.58,59.74,2.73
Talcahuano,0,93,-36.72,53.6,6.93
Sabha,64,31,27.03,85.25,1.72
Bilibino,80,80,68.06,36.92,3.4
Tiszabezded,36,92,48.37,60.32,4.63
Bay City,75,83,43.59,75.31,9.17
Mansa,75,88,23.43,78.8,5.82
Tyukalinsk,100,98,55.87,55.28,9.22
Bilma,0,48,18.69,83.9,11.45
Beitbridge,0,73,-22.21,60.86,6.76
Hornepayne,80,80,49.22,68.51,3.06
Mirnyy,8,67,56.57,56.63,4.41
Zhezkazgan,0,92,47.8,47.99,5.41
Clarence Town,90,82,-32.59,57.2,5.82
Atambua,0,98,-9.11,77.33,4.97
Nizhniy Kuranakh,100,100,58.84,52.94,4.07
Serzhen-Yurt,8,88,43.12,59.87,0.72
San Jeronimo,0,58,-13.65,44.66,1.95
Sambava,80,100,-14.27,70.13,12.24
Grootfontein,32,54,-19.56,56.72,4.41
Catalina,40,74,8.86,87.8,11.41
Jinka,80,93,5.79,60.5,1.61
Northam,0,55,51.04,58.08,6.93
Agadir,0,83,30.42,69.8,4.7
Nanning,24,88,22.83,78.8,2.24
Kirakira,88,100,-10.46,79.85,15.7
Fort-Shevchenko,0,100,44.51,64.91,9.22
Powell River,75,82,49.84,61.5,3.36
Khorixas,0,64,-20.37,45.74,2.51
Siguiri,64,98,11.42,68.87,7.54
Maniitsoq,20,95,65.42,40.7,6.08
Lompoc,90,82,34.64,72.1,10.29
Roald,92,81,62.58,47.95,3.36
Hithadhoo,36,100,-0.6,80.3,7.43
Paso de Carrasco,0,92,-34.86,44.6,3.36
Vaihingen,0,87,48.73,50.0,2.24
Magdagachi,36,81,53.45,71.3,3.51
Hay River,75,47,60.82,57.2,12.75
Nakhon Nayok,92,97,14.2,71.84,2.73
Yen Bai,48,100,21.7,73.73,3.51
Pedernales,32,74,0.07,76.79,7.43
Chernyy Yar,20,82,64.44,62.6,11.18
Rome,40,78,41.89,74.73,5.82
Shitanjing,12,80,39.23,62.21,2.95
Faya,0,47,18.39,73.35,5.19
Thinadhoo,8,100,0.53,82.19,8.21
Zolotkovo,0,84,55.53,52.49,3.74
Cayenne,0,88,4.94,80.6,8.21
Lae,12,93,-6.72,73.91,0.38
Kokopo,0,100,-4.34,81.74,1.95
Cabedelo,75,83,-6.97,75.2,10.29
Pabianice,76,93,51.66,59.0,6.93
Guerrero Negro,0,59,27.97,78.95,13.13
Trincomalee,80,88,8.58,76.97,14.25
Strezhevoy,0,100,60.73,55.4,2.24
Preobrazheniye,92,100,42.9,58.52,2.17
Zapolyarnyy,12,76,69.43,53.6,31.09
Nome,1,45,30.04,93.02,10.29
Manggar,36,82,-2.88,81.65,8.55
Tapejara,0,61,-23.73,51.5,10.45
Ottumwa,1,55,41.02,90.05,3.36
San Cristobal,40,36,-0.39,64.4,11.41
Oussouye,24,95,12.49,81.11,12.57
Santiago,0,83,-33.44,63.41,11.41
Hirata,75,74,37.21,80.6,2.24
Beyneu,0,65,45.32,55.19,4.63
Vulcan,92,44,50.4,68.15,4.97
Nizwa,12,56,22.93,68.6,3.18
Campbellton,0,75,48.0,68.06,4.07
Bachaquero,32,74,9.96,90.02,3.06
Tiffin,90,76,41.11,76.5,8.05
Deputatskiy,48,74,69.3,43.49,3.96
Babu,12,96,23.23,63.02,3.18
Penzance,80,87,50.12,50.0,6.93
Missoula,1,18,46.87,78.08,5.82
Itupiranga,0,74,-5.13,78.8,2.51
Zhanaozen,0,37,43.35,57.44,5.64
Hearst,64,75,49.69,68.87,3.18
Te Anau,32,83,-45.41,46.91,13.02
Netanya,40,74,32.33,78.8,4.7
Benito Juarez,0,28,28.64,99.47,10.67
Nichinan,20,83,31.65,80.47,3.36
San Buenaventura,0,26,27.06,96.14,10.11
Fort Nelson,75,87,58.81,57.2,4.7
Kupang,20,100,-10.16,73.4,4.7
Luanda,75,83,-8.83,71.6,6.93
Temba,0,54,-25.38,59.0,6.93
Namalenga,0,87,-10.95,61.76,4.74
Camacha,40,77,33.08,70.83,9.17
Petropavlovsk-Kamchatskiy,64,76,53.05,57.2,4.47
Humberto de Campos,0,94,-2.6,79.49,11.12
Touho,100,83,-20.78,66.71,7.09
Emerald,36,75,-23.53,69.32,4.63
Banjar,48,89,-7.37,65.99,1.72
Palanga,0,78,44.45,65.27,2.95
Gurupi,0,55,-11.73,77.69,5.97
Ipixuna,75,88,-1.76,77.0,4.7
Hit,0,21,33.64,84.89,14.14
Prince Rupert,90,87,54.32,59.0,5.82
Kanadey,0,84,53.17,48.89,3.06
Fare,8,100,-16.7,78.14,0.94
Kungurtug,0,75,50.6,40.7,2.39
San Vicente,40,66,13.64,79.68,3.36
Saint-Pierre,0,71,48.95,49.01,2.73
